"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
1,5,2015-07-31,5263,555,1,1,"0","1"
2,5,2015-07-31,6064,625,1,1,"0","1"
3,5,2015-07-31,8314,821,1,1,"0","1"
4,5,2015-07-31,13995,1498,1,1,"0","1"
5,5,2015-07-31,4822,559,1,1,"0","1"
6,5,2015-07-31,5651,589,1,1,"0","1"
7,5,2015-07-31,15344,1414,1,1,"0","1"
8,5,2015-07-31,8492,833,1,1,"0","1"
9,5,2015-07-31,8565,687,1,1,"0","1"
10,5,2015-07-31,7185,681,1,1,"0","1"
11,5,2015-07-31,10457,1236,1,1,"0","1"
12,5,2015-07-31,8959,962,1,1,"0","1"
13,5,2015-07-31,8821,568,1,1,"0","0"
14,5,2015-07-31,6544,710,1,1,"0","1"
15,5,2015-07-31,9191,766,1,1,"0","1"
16,5,2015-07-31,10231,979,1,1,"0","1"
17,5,2015-07-31,8430,946,1,1,"0","1"
18,5,2015-07-31,10071,936,1,1,"0","1"
19,5,2015-07-31,8234,718,1,1,"0","1"
20,5,2015-07-31,9593,974,1,1,"0","0"
21,5,2015-07-31,9515,682,1,1,"0","1"
22,5,2015-07-31,6566,633,1,1,"0","0"
23,5,2015-07-31,7273,560,1,1,"0","1"
24,5,2015-07-31,14190,1082,1,1,"0","1"
25,5,2015-07-31,14180,1586,1,1,"0","1"
26,5,2015-07-31,7818,611,1,1,"0","1"
27,5,2015-07-31,13213,1263,1,1,"0","1"
28,5,2015-07-31,7301,663,1,1,"0","1"
29,5,2015-07-31,9411,737,1,1,"0","1"
30,5,2015-07-31,4776,625,1,1,"0","1"
31,5,2015-07-31,7248,645,1,1,"0","1"
32,5,2015-07-31,6395,635,1,1,"0","0"
33,5,2015-07-31,10789,915,1,1,"0","1"
34,5,2015-07-31,11144,1162,1,1,"0","1"
35,5,2015-07-31,12412,777,1,1,"0","1"
36,5,2015-07-31,12422,1251,1,1,"0","0"
37,5,2015-07-31,9091,888,1,1,"0","1"
38,5,2015-07-31,7434,608,1,1,"0","1"
39,5,2015-07-31,8336,929,1,1,"0","1"
40,5,2015-07-31,5464,678,1,1,"0","1"
41,5,2015-07-31,6938,494,1,1,"0","0"
42,5,2015-07-31,11946,1235,1,1,"0","1"
43,5,2015-07-31,8096,683,1,1,"0","1"
44,5,2015-07-31,6670,665,1,1,"0","1"
45,5,2015-07-31,6301,442,1,1,"0","1"
46,5,2015-07-31,7628,775,1,1,"0","0"
47,5,2015-07-31,9379,1021,1,1,"0","1"
48,5,2015-07-31,3874,390,1,1,"0","1"
49,5,2015-07-31,10310,666,1,1,"0","1"
50,5,2015-07-31,5729,441,1,1,"0","1"
51,5,2015-07-31,9198,610,1,1,"0","0"
52,5,2015-07-31,8031,527,1,1,"0","0"
53,5,2015-07-31,7540,690,1,1,"0","1"
54,5,2015-07-31,10732,889,1,1,"0","1"
55,5,2015-07-31,6096,673,1,1,"0","1"
56,5,2015-07-31,10022,619,1,1,"0","1"
57,5,2015-07-31,11594,1025,1,1,"0","1"
58,5,2015-07-31,8581,603,1,1,"0","0"
59,5,2015-07-31,7148,628,1,1,"0","1"
60,5,2015-07-31,9762,776,1,1,"0","1"
61,5,2015-07-31,5572,665,1,1,"0","1"
62,5,2015-07-31,7495,772,1,1,"0","1"
63,5,2015-07-31,11525,846,1,1,"0","1"
64,5,2015-07-31,13251,935,1,1,"0","1"
65,5,2015-07-31,7156,561,1,1,"0","1"
66,5,2015-07-31,8306,636,1,1,"0","1"
